,Owner,Team,League,Recipient,Amount,Election Year,Party
198,Charles Johnson,San Francisco Giants,MLB,ANNA PAULINA LUNA FOR CONGRESS,5600,2020,Republican
199,Charles Johnson,San Francisco Giants,MLB,ASHLEY HINSON FOR CONGRESS,5600,2020,Republican
200,Charles Johnson,San Francisco Giants,MLB,"BOLDUC 2020, INC.",5600,2020,Republican
201,Charles Johnson,San Francisco Giants,MLB,BRIAN FITZPATRICK FOR CONGRESS,5600,2020,Republican
202,Charles Johnson,San Francisco Giants,MLB,CARLA SPALDING FOR CONGRESS,5600,2020,Republican
203,Charles Johnson,San Francisco Giants,MLB,CARMELITA FOR CONGRESS,5600,2020,Republican
204,Charles Johnson,San Francisco Giants,MLB,CAROL FOR CONGRESS,5600,2020,Republican
205,Charles Johnson,San Francisco Giants,MLB,CHIP ROY FOR CONGRESS,5600,2020,Republican
206,Charles Johnson,San Francisco Giants,MLB,CHURCH FOR WISCONSIN,5600,2020,Republican
207,Charles Johnson,San Francisco Giants,MLB,CUMMINGS FOR CONGRESS,5600,2020,Republican
208,Charles Johnson,San Francisco Giants,MLB,DARRELL ISSA FOR CONGRESS,5600,2020,Republican
209,Charles Johnson,San Francisco Giants,MLB,DON BACON FOR CONGRESS,5600,2020,Republican
210,Charles Johnson,San Francisco Giants,MLB,DOUG LAMALFA COMMITTEE,5600,2020,Republican
211,Charles Johnson,San Francisco Giants,MLB,ELISE FOR CONGRESS,5600,2020,Republican
212,Charles Johnson,San Francisco Giants,MLB,FISCHBACH FOR CONGRESS,5600,2020,Republican
213,Charles Johnson,San Francisco Giants,MLB,FRIENDS OF HAGEDORN,5600,2020,Republican
214,Charles Johnson,San Francisco Giants,MLB,"FRIENDS OF LEON BENJAMIN, INC.",5600,2020,Republican
215,Charles Johnson,San Francisco Giants,MLB,GARDNER VICTORY COMMITTEE,5600,2020,Republican
216,Charles Johnson,San Francisco Giants,MLB,HUIZENGA FOR CONGRESS,5600,2020,Republican
217,Charles Johnson,San Francisco Giants,MLB,HURD FOR CONGRESS,5600,2020,Republican
218,Charles Johnson,San Francisco Giants,MLB,JAIME FOR CONGRESS,5600,2020,Republican
219,Charles Johnson,San Francisco Giants,MLB,JASON LEWIS FOR SENATE,5600,2020,Republican
220,Charles Johnson,San Francisco Giants,MLB,JOHN CARTER FOR CONGRESS,5600,2020,Republican
221,Charles Johnson,San Francisco Giants,MLB,"JOHN JAMES FOR SENATE, INC.",5600,2020,Republican
222,Charles Johnson,San Francisco Giants,MLB,KATKO FOR CONGRESS,5600,2020,Republican
223,Charles Johnson,San Francisco Giants,MLB,KIM KLACIK FOR CONGRESS,5600,2020,Republican
224,Charles Johnson,San Francisco Giants,MLB,KISTNER FOR CONGRESS,5600,2020,Republican
225,Charles Johnson,San Francisco Giants,MLB,MARIO DIAZ-BALART FOR CONGRESS,5600,2020,Republican
226,Charles Johnson,San Francisco Giants,MLB,MAST VICTORY COMMITTEE,5600,2020,Republican
227,Charles Johnson,San Francisco Giants,MLB,"MCCAUL FOR CONGRESS, INC",5600,2020,Republican
228,Charles Johnson,San Francisco Giants,MLB,MCGUIRE FOR VIRGINIA,5600,2020,Republican
