Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Jimmy and Susan Haslam,Cleveland Browns,NFL,SENATE LEADERSHIP FUND,25000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,1820 PAC,25000,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,HAWKEYE FUND,20600,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,20000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,NATSO INC. NATSO PAC,20000,2016,Bipartisan,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,20000,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,CLEVELAND FORWARD PAC,20000,2018,,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,GRIDIRON-PAC,20000,2018,Bipartisan,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,NATSO INC. NATSO PAC,20000,2018,Bipartisan,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,ERNST VICTORY IOWA,20000,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,20000,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,GRIDIRON-PAC,20000,2020,Bipartisan,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,ANTHONY GONZALEZ FOR CONGRESS,11200,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,COLLINS FOR SENATOR,11200,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,CORY GARDNER FOR SENATE,11200,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,MCSALLY FOR SENATE INC,11200,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,PERDUE FOR SENATE,11200,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TEXANS FOR SENATOR JOHN CORNYN INC.,11200,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,THOM TILLIS COMMITTEE,11200,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,KASICH FOR AMERICA INC,10800,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,PORTMAN FOR SENATE COMMITTEE,10800,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,ANTHONY GONZALEZ FOR CONGRESS,10800,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,CITIZENS FOR JOSH MANDEL INC,10800,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,HELLER FOR SENATE,10800,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,MARSHA FOR SENATE,10400,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF ROY BLUNT,10000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,ROCK CITY PAC,10000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,JOHN ROSE FOR TENNESSEE,10000,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TEAM JOSH,10000,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TENNESSEE REPUBLICAN PARTY FEDERAL ELECTION ACCOUNT,10000,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TENNESSEE REPUBLICAN PARTY FEDERAL ELECTION ACCOUNT,10000,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,NATSO INC. NATSO PAC,10000,2020,Bipartisan,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,GRASSLEY HAWKEYE FUND,7700,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,GEORGIANS FOR ISAKSON,7500,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,THE RICHARD BURR COMMITTEE,7500,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,ALASKANS FOR DAN SULLIVAN,5600,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF DAVE JOYCE,5600,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,"FRIENDS OF TODD YOUNG, INC.",5600,2020,Republican,1
